Temperature Offsets
Date of Calibration:,10-29-18,11:02:45
TOP:,1.49,BOT:,0.48
LED Calibration:,500

TIME,PLATE,TUBE,DISK TOP,DISK BOTTOM,FLUID TEMP,PIEZO CURRENT, LED CURRENT
08:20:06,21.99,22.28,26.52,25.16,26.07,0, ,
08:20:16,22.19,25.79,26.41,25.18,26.00,0, ,
08:20:26,22.50,28.82,26.64,25.22,26.17,0, ,
08:20:36,22.69,29.69,26.66,25.22,26.19,0, ,
08:20:46,22.93,30.81,26.60,25.25,26.15,0, ,
08:20:56,23.24,32.70,26.69,25.30,26.23,0, ,
08:21:06,23.40,33.80,26.79,25.30,26.29,0, ,
08:21:16,23.66,34.36,26.72,25.34,26.26,0, ,
08:21:26,23.87,35.58,26.83,25.39,26.35,0, ,
08:21:36,24.08,36.00,26.87,25.43,26.39,0, ,
08:21:46,24.28,35.99,26.94,25.49,26.45,0, ,
08:21:56,24.53,36.13,26.96,25.50,26.48,0, ,
08:22:06,24.63,36.84,27.01,25.57,26.53,0, ,
08:22:16,24.80,37.01,27.06,25.61,26.58,0, ,
08:22:26,25.00,36.85,27.14,25.70,26.64,0, ,
08:22:36,25.15,36.85,27.12,25.74,26.65,0, ,
08:22:46,25.29,37.22,27.20,25.80,26.73,0, ,
08:22:56,25.52,37.13,27.30,25.83,26.81,0, ,
08:23:06,25.48,37.22,27.32,25.90,26.85,0, ,
08:23:16,25.68,37.25,27.36,25.98,26.90,0, ,
08:23:26,25.82,37.40,27.43,26.04,26.97,0, ,
08:23:36,25.93,37.32,27.48,26.11,27.03,0, ,
08:23:46,26.04,37.24,27.56,26.16,27.10,0, ,
08:23:56,26.19,37.19,27.63,26.26,27.17,0, ,
08:24:06,26.24,37.30,27.65,26.33,27.21,0, ,
08:24:16,26.31,37.40,27.71,26.44,27.29,0, ,
08:24:26,26.43,37.35,27.80,26.50,27.37,0, ,
08:24:36,26.55,37.32,27.90,26.57,27.44,0, ,
08:24:46,26.62,37.24,27.94,26.63,27.50,0, ,
08:24:56,26.78,37.17,28.00,26.68,27.58,0, ,
08:25:06,26.82,37.29,28.07,26.78,27.64,0, ,
08:25:16,26.94,37.72,28.11,26.84,27.69,0, ,
08:25:26,27.05,38.02,28.20,26.94,27.78,0, ,
08:25:36,27.12,37.80,28.25,27.00,27.84,0, ,
08:25:46,27.19,37.61,28.38,27.06,27.94,0, ,
08:25:56,27.35,37.70,28.42,27.16,28.00,0, ,
08:26:06,27.30,37.83,28.51,27.24,28.08,0, ,
08:26:16,27.44,37.70,28.48,27.30,28.09,0, ,
08:26:26,27.57,38.13,28.59,27.35,28.17,0, ,
08:26:36,27.64,38.07,28.66,27.44,28.25,0, ,
08:26:46,27.71,37.96,28.72,27.52,28.32,0, ,
08:26:56,27.83,37.83,28.80,27.58,28.39,0, ,
08:27:06,27.86,37.81,28.83,27.68,28.44,0, ,
08:27:16,27.95,37.91,28.96,27.70,28.54,0, ,
08:27:26,25.60,37.75,28.97,27.82,28.58,0, ,
08:27:36,28.03,37.59,29.04,27.90,28.65,0, ,
08:27:46,28.10,37.59,29.14,27.93,28.74,0, ,
08:27:56,28.22,37.45,29.15,28.00,28.76,0, ,
08:28:06,28.40,37.62,29.23,28.08,28.84,0, ,
08:28:16,28.30,37.75,29.32,28.12,28.92,0, ,
08:28:26,28.36,37.77,29.38,28.17,29.00,0, ,
08:28:36,28.43,37.62,29.40,28.27,29.02,0, ,
08:28:46,28.45,37.48,29.49,28.37,29.10,0, ,
08:28:56,28.57,37.65,29.56,28.43,29.17,0, ,
08:29:06,28.55,37.78,29.63,28.47,29.24,0, ,
08:29:16,28.59,37.93,29.65,28.55,29.28,0, ,
08:29:26,28.76,38.18,29.77,28.58,29.37,0, ,
08:29:36,28.83,38.07,29.77,28.64,29.39,0, ,
08:29:46,28.86,37.94,29.83,28.73,29.46,0, ,
08:29:56,28.97,37.80,29.90,28.78,29.53,0, ,
08:30:06,28.97,37.67,29.94,28.89,29.57,0, ,
08:30:16,29.04,38.01,30.05,28.89,29.66,0, ,
08:30:26,29.10,38.04,30.11,28.96,29.73,0, ,
08:30:36,29.15,37.93,30.14,29.08,29.79,0, ,
08:30:46,29.18,37.88,30.16,29.10,29.81,0, ,
08:30:56,29.26,37.75,30.27,29.17,29.90,0, ,
08:31:06,29.26,37.75,30.34,29.21,29.98,0, ,
08:31:16,29.32,37.65,30.37,29.26,30.00,0, ,
08:31:26,29.38,37.81,30.42,29.37,30.06,0, ,
08:31:36,29.36,37.73,30.54,29.39,30.16,0, ,
08:31:46,29.45,37.48,30.56,29.44,30.20,0, ,
08:31:56,27.50,37.41,30.63,29.51,30.26,0, ,
08:32:06,27.61,37.96,31.84,30.38,31.36,1, ,
08:32:16,27.48,37.80,31.87,30.43,31.40,1, ,
08:32:26,27.60,37.08,32.02,30.49,31.51,0, ,
08:32:36,27.58,37.94,32.11,30.65,31.62,0, ,
08:32:46,27.70,38.44,32.23,30.72,31.73,0, ,
08:32:56,27.69,39.06,32.23,30.87,31.76,1, ,
08:33:06,27.70,39.32,32.36,30.95,31.89,1, ,
08:33:16,27.81,38.87,32.49,30.98,31.99,0, ,
08:33:26,27.93,38.63,32.49,31.08,32.02,0, ,
08:33:36,28.01,39.06,32.63,31.15,32.14,0, ,
08:33:46,27.96,39.17,32.67,31.24,32.17,0, ,
08:33:56,28.02,39.13,32.78,31.30,32.28,0, ,
08:34:06,27.91,38.85,32.82,31.39,32.35,0, ,
08:34:16,28.19,38.29,32.88,31.44,32.39,0, ,
08:34:26,28.24,38.71,32.99,31.53,32.50,0, ,
08:34:36,28.19,38.65,33.07,31.60,32.58,0, ,
08:34:46,28.33,39.03,33.08,31.61,32.59,2, ,
08:34:56,28.45,38.77,33.15,31.71,32.66,1, ,
08:35:06,28.45,38.15,33.21,31.78,32.73,0, ,
08:35:16,28.51,38.89,33.29,31.87,32.82,0, ,
08:35:26,28.58,39.08,33.40,31.89,32.90,0, ,
08:35:36,28.56,39.49,33.40,31.99,32.93,1, ,
08:35:46,28.71,39.22,33.51,32.04,33.03,1, ,
08:35:56,28.85,39.81,33.37,32.11,32.95,0, ,
08:36:06,29.02,42.22,33.59,32.19,33.12,0, ,
08:36:16,29.32,42.62,33.73,32.24,33.23,0, ,
08:36:26,29.24,42.86,33.78,32.33,33.29,1, ,
08:36:36,29.38,42.51,33.87,32.37,33.37,1, ,
08:36:46,29.42,41.92,33.98,32.43,33.46,0, ,
08:36:56,29.46,41.46,34.01,32.52,33.52,0, ,
08:37:06,29.62,40.92,34.08,32.57,33.59,0, ,
08:37:16,31.48,40.86,34.13,32.63,33.64,0, ,
08:37:26,31.72,42.89,34.04,32.68,33.59,0, ,
08:37:36,32.19,47.95,34.09,32.69,33.62,0, ,
08:37:46,32.78,53.88,34.21,32.82,33.73,0, ,
08:37:56,33.48,58.94,34.43,32.84,33.90,0, ,
08:38:06,34.09,62.46,34.52,32.93,33.99,0, ,
08:38:16,34.84,67.35,34.69,33.06,34.14,0, ,
08:38:26,35.61,71.85,34.90,33.16,34.32,0, ,
08:38:36,36.41,75.97,35.15,33.32,34.54,0, ,
08:38:46,37.16,79.17,35.50,33.45,34.82,0, ,
08:38:56,37.80,80.95,35.72,33.60,34.99,0, ,
08:39:06,38.59,83.80,35.94,33.72,35.20,0, ,
08:39:16,39.26,85.72,36.31,33.88,35.50,0, ,
08:39:26,39.83,86.24,36.54,34.06,35.71,0, ,
08:39:36,40.46,88.45,36.76,34.29,35.93,0, ,
08:39:46,41.09,89.80,37.16,34.55,36.27,0, ,
08:39:56,41.57,89.35,37.36,34.77,36.49,0, ,
08:40:06,42.10,91.03,37.60,34.97,36.73,0, ,
08:40:16,42.66,92.07,38.03,35.21,37.09,0, ,
08:40:26,43.06,91.34,38.24,35.44,37.31,0, ,
08:40:36,43.55,92.43,38.40,35.70,37.50,0, ,
08:40:46,44.03,93.68,38.87,35.95,37.90,0, ,
08:40:56,44.37,93.00,39.08,36.16,38.11,0, ,
08:41:06,44.77,93.16,39.23,36.45,38.30,0, ,
08:41:16,45.23,95.02,39.57,36.69,38.61,-5, ,
08:41:26,45.64,95.22,39.89,36.93,38.89,7, ,
08:41:36,45.99,94.26,40.15,37.18,39.15,8, ,
08:41:46,46.44,94.61,40.30,37.40,39.33,0, ,
08:41:56,46.92,95.64,40.63,37.66,39.63,0, ,
08:42:06,47.18,95.11,40.97,37.93,39.95,0, ,
08:42:16,47.40,94.54,41.15,38.19,40.15,0, ,
08:42:26,47.72,95.35,41.39,38.43,40.39,0, ,
08:42:36,48.00,95.50,41.71,38.64,40.68,0, ,
08:42:46,48.18,94.71,41.93,38.89,40.91,-5, ,
08:42:56,48.50,94.98,42.06,39.11,41.08,7, ,
08:43:06,39.16,95.87,42.31,39.31,41.32,9, ,
08:43:16,49.27,96.00,42.68,39.61,41.66,0, ,
08:43:26,49.50,94.66,42.75,39.82,41.76,0, ,
08:43:36,52.77,95.80,42.91,40.07,41.95,0, ,
08:43:46,59.94,96.24,43.42,40.38,42.39,0, ,
08:43:56,70.75,95.45,44.04,40.85,42.96,0, ,
08:44:06,81.82,95.52,45.18,41.52,43.96,0, ,
08:44:16,88.35,96.07,46.79,42.56,45.34,-5, ,
08:44:26,74.29,96.04,48.44,43.81,46.86,7, ,
08:44:36,81.08,95.36,49.67,44.99,48.08,9, ,
08:44:46,77.93,95.84,50.44,46.03,48.95,10, ,
08:44:56,74.90,95.70,51.11,46.87,49.68,0, ,
